optimizer,n_layers,n_neurons,learning_rate,mse,loc,model
rmsprop,15,100,0.009034582,1.0328137874603271,Cabo_de_Pennas,GOW
rmsprop,15,200,0.009034582,0.7708426713943481,Cabo_de_Pennas,GOW
adam,1,10,0.008124786,0.31124573945999146,Cabo_de_Pennas,COP
adam,1,50,0.008430346,0.22283107042312622,Cabo_de_Pennas,COP
adam,1,100,0.008747396,0.23666006326675415,Cabo_de_Pennas,COP
adam,1,200,0.008869341,0.2449512630701065,Cabo_de_Pennas,COP
adam,5,10,0.008508515,1.8038047552108765,Cabo_de_Pennas,COP
adam,5,50,0.009076371,1.342159390449524,Cabo_de_Pennas,COP
adam,5,100,0.008869341,1.2986146211624146,Cabo_de_Pennas,COP
adam,5,200,0.008707122,0.5019951462745667,Cabo_de_Pennas,COP
adam,10,10,0.009034582,2.755801200866699,Cabo_de_Pennas,COP
adam,10,50,0.009076371,0.4553838074207306,Cabo_de_Pennas,COP
adam,10,100,0.009076371,0.5307709574699402,Cabo_de_Pennas,COP
adam,10,200,0.008828505,1.772153377532959,Cabo_de_Pennas,COP
adam,15,10,0.00895158,2.776878833770752,Cabo_de_Pennas,COP
adam,15,50,0.009076371,1.7854399681091309,Cabo_de_Pennas,COP
adam,15,100,0.009034582,1.7788565158843994,Cabo_de_Pennas,COP
adam,15,200,0.009076371,1.7705951929092407,Cabo_de_Pennas,COP
sgd,1,10,0.0077583645,0.2776762545108795,Cabo_de_Pennas,COP
sgd,1,50,0.007477161,0.2529109716415405,Cabo_de_Pennas,COP
sgd,1,100,0.006944962,0.2408948689699173,Cabo_de_Pennas,COP
sgd,1,200,0.007374358,0.2385168969631195,Cabo_de_Pennas,COP
sgd,5,10,0.009034582,1.1538934707641602,Cabo_de_Pennas,COP
sgd,5,50,0.009076371,0.9769278764724731,Cabo_de_Pennas,COP
sgd,5,100,0.009034582,0.6121761798858643,Cabo_de_Pennas,COP
sgd,5,200,0.008747396,0.39508020877838135,Cabo_de_Pennas,COP
sgd,10,10,0.008627129,1.5607680082321167,Cabo_de_Pennas,COP
sgd,10,50,0.008910365,0.4421866238117218,Cabo_de_Pennas,COP
sgd,10,100,0.008910365,0.39750146865844727,Cabo_de_Pennas,COP
sgd,10,200,0.009076371,1.011785864830017,Cabo_de_Pennas,COP
sgd,15,10,0.009076371,1.519803762435913,Cabo_de_Pennas,COP
sgd,15,50,0.008828505,0.4739493727684021,Cabo_de_Pennas,COP
sgd,15,100,0.008910365,0.3818289637565613,Cabo_de_Pennas,COP
sgd,15,200,0.00895158,0.3850138187408447,Cabo_de_Pennas,COP
rmsprop,1,10,0.007616465,0.28652235865592957,Cabo_de_Pennas,COP
rmsprop,1,50,0.0068179397,0.24605438113212585,Cabo_de_Pennas,COP
rmsprop,1,100,0.00895158,0.23189614713191986,Cabo_de_Pennas,COP
rmsprop,1,200,0.0077942503,0.2445133477449417,Cabo_de_Pennas,COP
rmsprop,5,10,0.009034582,1.4989359378814697,Cabo_de_Pennas,COP
rmsprop,5,50,0.009076371,0.7272534966468811,Cabo_de_Pennas,COP
rmsprop,5,100,0.008910365,0.3404380977153778,Cabo_de_Pennas,COP
rmsprop,5,200,0.009034582,0.29916486144065857,Cabo_de_Pennas,COP
rmsprop,10,10,0.009034582,1.5215978622436523,Cabo_de_Pennas,COP
rmsprop,10,50,0.009076371,0.5856068134307861,Cabo_de_Pennas,COP
rmsprop,10,100,0.009034582,0.7664965391159058,Cabo_de_Pennas,COP
rmsprop,10,200,0.008992985,0.6028269529342651,Cabo_de_Pennas,COP
rmsprop,15,10,0.008747396,0.9202980995178223,Cabo_de_Pennas,COP
rmsprop,15,50,0.009076371,0.916671633720398,Cabo_de_Pennas,COP
rmsprop,15,100,0.008910365,0.7037708759307861,Cabo_de_Pennas,COP
rmsprop,15,200,0.008992985,0.5526293516159058,Cabo_de_Pennas,COP
adam,1,10,0.008879065,0.324465811252594,Estaca_de_Bares,GOW
adam,1,50,0.008919759,0.2898014783859253,Estaca_de_Bares,GOW
adam,1,100,0.008758094,0.217195525765419,Estaca_de_Bares,GOW
adam,1,200,0.007565917,0.2356307953596115,Estaca_de_Bares,GOW
adam,5,10,0.008960639,2.6463685035705566,Estaca_de_Bares,GOW
adam,5,50,0.009084407,1.9198168516159058,Estaca_de_Bares,GOW
adam,5,100,0.009001707,0.8514254689216614,Estaca_de_Bares,GOW
adam,5,200,0.009001707,0.33142778277397156,Estaca_de_Bares,GOW
adam,10,10,0.009042962,3.9457144737243652,Estaca_de_Bares,GOW
adam,10,50,0.009001707,0.7833019495010376,Estaca_de_Bares,GOW
adam,10,100,0.009042962,0.8936477303504944,Estaca_de_Bares,GOW
adam,10,200,0.008960639,2.375183343887329,Estaca_de_Bares,GOW
adam,15,10,0.00840498,1.2486969232559204,Estaca_de_Bares,GOW
adam,15,50,0.009084407,2.366706609725952,Estaca_de_Bares,GOW
adam,15,100,0.009084407,2.361860990524292,Estaca_de_Bares,GOW
adam,15,200,0.009084407,2.36346173286438,Estaca_de_Bares,GOW
sgd,1,10,0.008177517,0.2772010266780853,Estaca_de_Bares,GOW
sgd,1,50,0.0075314003,0.24616563320159912,Estaca_de_Bares,GOW
sgd,1,100,0.006359139,0.23626913130283356,Estaca_de_Bares,GOW
sgd,1,200,0.007000059,0.2366136610507965,Estaca_de_Bares,GOW
sgd,5,10,0.009042962,1.676071286201477,Estaca_de_Bares,GOW
sgd,5,50,0.008919759,1.6450282335281372,Estaca_de_Bares,GOW
sgd,5,100,0.009084407,1.1174453496932983,Estaca_de_Bares,GOW
sgd,5,200,0.008960639,0.5139064192771912,Estaca_de_Bares,GOW
sgd,10,10,0.008560128,2.2669970989227295,Estaca_de_Bares,GOW
sgd,10,50,0.008879065,0.6396559476852417,Estaca_de_Bares,GOW
sgd,10,100,0.009042962,1.3057786226272583,Estaca_de_Bares,GOW
sgd,10,200,0.009084407,1.6929221153259277,Estaca_de_Bares,GOW
sgd,15,10,0.009084407,2.2813878059387207,Estaca_de_Bares,GOW
sgd,15,50,0.008879065,0.4559551775455475,Estaca_de_Bares,GOW
sgd,15,100,0.009001707,0.48277547955513,Estaca_de_Bares,GOW
sgd,15,200,0.009001707,0.43988046050071716,Estaca_de_Bares,GOW
rmsprop,1,10,0.0085210735,0.24628287553787231,Estaca_de_Bares,GOW
rmsprop,1,50,0.0071947705,0.18986526131629944,Estaca_de_Bares,GOW
rmsprop,1,100,0.008638771,0.2102939337491989,Estaca_de_Bares,GOW
rmsprop,1,200,0.00814021,0.26697567105293274,Estaca_de_Bares,GOW
rmsprop,5,10,0.008879065,2.413823127746582,Estaca_de_Bares,GOW
rmsprop,5,50,0.009001707,1.0093262195587158,Estaca_de_Bares,GOW
rmsprop,5,100,0.008919759,0.8504838347434998,Estaca_de_Bares,GOW
rmsprop,5,200,0.008838557,0.48900431394577026,Estaca_de_Bares,GOW
rmsprop,10,10,0.008960639,3.338714599609375,Estaca_de_Bares,GOW
rmsprop,10,50,0.008919759,0.6624312400817871,Estaca_de_Bares,GOW
rmsprop,10,100,0.009001707,0.3754274845123291,Estaca_de_Bares,GOW
rmsprop,10,200,0.009001707,0.38226163387298584,Estaca_de_Bares,GOW
rmsprop,15,10,0.009084407,1.203931450843811,Estaca_de_Bares,GOW
rmsprop,15,50,0.009042962,0.818760871887207,Estaca_de_Bares,GOW
rmsprop,15,100,0.009084407,0.8229337334632874,Estaca_de_Bares,GOW
rmsprop,15,200,0.008919759,1.1831594705581665,Estaca_de_Bares,GOW
adam,1,10,0.008678364,0.3199180066585541,Estaca_de_Bares,COP
adam,1,50,0.0071619465,0.2664950489997864,Estaca_de_Bares,COP
