Nombre,Modelo,bias_gow,bias_cop,rmse_gow,rmse_cop,pearson_gow,pearson_cop,si_gow,si_cop
Cabo_de_Pennas,No_Lineal,0.01767921269886878,-0.06761056011776592,0.41926985093487895,0.3732291317164413,0.9438219414695418,0.9590141829031387,0.19538129635517618,0.17392615145037307
Estaca_de_Bares,No_Lineal,0.026777157372540928,-0.09090936730821127,0.3991350713445025,0.423044243287568,0.9625050959253667,0.9604041701465552,0.15290812406780613,0.16206769658423195
Villano-Sisargas,No_Lineal,0.12476763248853534,-0.015312358044977744,0.4218169667325806,0.3954794343581016,0.9564198828745872,0.9573982662563804,0.15822667598250795,0.14834727204701512
Cabo_Silleiro,No_Lineal,0.12529870355085698,-0.0312571822206905,0.42491480708122253,0.3585397005081177,0.9606928886559742,0.9664344077734941,0.16734260320663452,0.14120234549045563
Golfo_de_Cadiz,No_Lineal,-0.005348093087310937,0.008274530311554104,0.2557719707100653,0.34452453744969813,0.9249271494893531,0.8553917408272292,0.20371233360436003,0.2744002687745597
Cabo_de_Gata,No_Lineal,-0.02657934222501933,0.009688990209788095,0.28711075141920184,0.3587736807455682,0.9250775748582794,0.8778036469615551,0.28073240295266705,0.35080329459630366
Cabo_de_Palos,No_Lineal,0.04646307754966979,0.011347913685768244,0.27188798785209656,0.2966649532318115,0.9085680553373968,0.8860421550708739,0.26982051134109497,0.2944090664386749
Valencia,No_Lineal,0.04117342680887459,0.03559837989557802,0.3118589222431183,0.29696932435035706,0.8019492445624969,0.8171719538832333,0.38740238547325134,0.3689059913158417
Tarragona,No_Lineal,0.03344907410150141,-0.023879761996994577,0.2437110029733643,0.29621142049926646,0.9170543208397601,0.8712326058916444,0.2776581512234022,0.33747149034577195
Cabo_Begur,No_Lineal,0.21400715927609493,-0.007524981841205718,0.40319704325866484,0.42285195172796797,0.9557819932270745,0.9127037552173234,0.3065674621261583,0.32151190556517084
Dragonera,No_Lineal,0.0630316261630225,-0.00641725561995357,0.30965781524886404,0.3575358856249388,0.9296293142595613,0.9004090012939804,0.2894307959029655,0.33418144430532765
Mahon,No_Lineal,0.04824974544179839,-0.023857712330672798,0.3071737853167435,0.37062843430120956,0.9572399085079596,0.935601070866248,0.2253584589109697,0.27191204710577693
Gran_Canaria,No_Lineal,0.05975049918195064,-0.03660222209467396,0.256340891122818,0.24442347884178162,0.925202053237633,0.928554395260693,0.1486508548259735,0.14174000918865204
Tenerife,No_Lineal,0.04192295555732798,0.04745396600987543,0.2175930142402649,0.21760347485542297,0.7964645092712598,0.7989953993770419,0.25472819805145264,0.254740446805954
Bilbao-Vizcaya,IHCantabria,0.0762598054693042,-0.12988540744846,0.3944335410890207,0.4083759742868156,0.9585625617384036,0.958748115328117,0.1928247536253093,0.1996407212503733
Cabo_de_Pennas,IHCantabria,-0.0378771313785026,-0.1715348417330756,0.423918602806323,0.3813862425546369,0.9435776232837254,0.9634430248242096,0.1975476318669021,0.177727395175687
Estaca_de_Bares,IHCantabria,-0.0592852358869142,-0.1573210451311092,0.4382752709419045,0.4273327751720195,0.9567161489586116,0.9633469472366168,0.16790268336804,0.1637106275430362
Villano-Sisargas,IHCantabria,0.1036105237564246,-0.0489210263266762,0.431879852212591,0.3963565952884226,0.9546818882860576,0.9594416613014204,0.1620013390375009,0.1486763016244204
Cabo_Silleiro,IHCantabria,0.1423443056116131,-0.0458129705917276,0.4254381249592265,0.3697455131691025,0.9631515627113026,0.9661890214213108,0.1675487049340566,0.1456154920121428
Golfo_de_Cadiz,IHCantabria,0.012600673014462,-0.0092934976970237,0.2445433639814131,0.2961999395041528,0.9349421004551856,0.90565201834455,0.1947691891563224,0.2359116236323651
Cabo_de_Gata,IHCantabria,0.0224249972302072,-0.0067039623855104,0.2786983406322473,0.3193785470975303,0.929835069144127,0.9145960488346486,0.2725068792369128,0.3122833489690934
Cabo_de_Palos,IHCantabria,0.0403797780197279,-0.0281110863469164,0.2945537558098263,0.3077212319303398,0.9020961555362432,0.8945963380019277,0.2923139250582914,0.3053812737237882
