optimizer,n_layers,n_neurons,learning_rate,mse,loc,model
rmsprop,1,50,0.008532394,0.08599746972322464,Bilbao-Vizcaya,COP
rmsprop,1,100,0.008827575,0.10092324763536453,Bilbao-Vizcaya,COP
rmsprop,1,200,0.008877755,0.10502780228853226,Bilbao-Vizcaya,COP
rmsprop,5,10,0.008728064,0.7659066319465637,Bilbao-Vizcaya,COP
rmsprop,5,50,0.008877755,0.5440355539321899,Bilbao-Vizcaya,COP
rmsprop,5,100,0.008827575,0.5395717620849609,Bilbao-Vizcaya,COP
rmsprop,5,200,0.00867873,0.207184299826622,Bilbao-Vizcaya,COP
rmsprop,10,10,0.008877755,1.2288556098937988,Bilbao-Vizcaya,COP
rmsprop,10,50,0.008877755,0.4487265944480896,Bilbao-Vizcaya,COP
rmsprop,10,100,0.008877755,0.3159865438938141,Bilbao-Vizcaya,COP
rmsprop,10,200,0.008877755,0.5023509860038757,Bilbao-Vizcaya,COP
rmsprop,15,10,0.008827575,1.6888365745544434,Bilbao-Vizcaya,COP
rmsprop,15,50,0.008877755,0.555286705493927,Bilbao-Vizcaya,COP
rmsprop,15,100,0.008532394,1.0692417621612549,Bilbao-Vizcaya,COP
rmsprop,15,200,0.008877755,1.0683664083480835,Bilbao-Vizcaya,COP
adam,1,10,0.008992985,0.11533259600400925,Cabo_de_Pennas,GOW
adam,1,50,0.008627129,0.10560079663991928,Cabo_de_Pennas,GOW
adam,1,100,0.008627129,0.10975459218025208,Cabo_de_Pennas,GOW
adam,1,200,0.008314437,0.10497825592756271,Cabo_de_Pennas,GOW
adam,5,10,0.009034582,0.5974108576774597,Cabo_de_Pennas,GOW
adam,5,50,0.009076371,0.6173731088638306,Cabo_de_Pennas,GOW
adam,5,100,0.009034582,0.18531504273414612,Cabo_de_Pennas,GOW
adam,5,200,0.009076371,0.2155742645263672,Cabo_de_Pennas,GOW
adam,10,10,0.009076371,1.3242638111114502,Cabo_de_Pennas,GOW
adam,10,50,0.009076371,0.7989820241928101,Cabo_de_Pennas,GOW
adam,10,100,0.008992985,0.2929367125034332,Cabo_de_Pennas,GOW
adam,10,200,0.009076371,0.291067898273468,Cabo_de_Pennas,GOW
adam,15,10,0.009034582,2.4357657432556152,Cabo_de_Pennas,GOW
